company,model,rating,year,mileage,price
현대,맥스크루즈,디젤(e-VGT) 2.2 4WD 익스클루시브,15/06(16년식),"116,413km","1,750(만원)"
현대,아반떼 HD,1.6 VVT S16,10/02,"136,784km",330(만원)
현대,YF 쏘나타,Y20 럭셔리,11/12(12년식),"162,036km",490(만원)
현대,싼타페 CM,2WD(2.0 e-VGT) MLX,11/09,"151,477km",650(만원)
현대,투싼 ix,디젤 2WD X20,11/09(12년식),"179,726km",530(만원)
현대,맥스크루즈,디젤(e-VGT) 2.2 4WD 익스클루시브,15/06(16년식),"116,413km","1,750(만원)"
현대,아반떼 HD,1.6 VVT S16,10/02,"136,784km",330(만원)
현대,YF 쏘나타,Y20 럭셔리,11/12(12년식),"162,036km",490(만원)
현대,싼타페 CM,2WD(2.0 e-VGT) MLX,11/09,"151,477km",650(만원)
현대,투싼 ix,디젤 2WD X20,11/09(12년식),"179,726km",530(만원)
현대,맥스크루즈,디젤(e-VGT) 2.2 4WD 익스클루시브,15/06(16년식),"116,413km","1,750(만원)"
현대,아반떼 HD,1.6 VVT S16,10/02,"136,784km",330(만원)
현대,YF 쏘나타,Y20 럭셔리,11/12(12년식),"162,036km",490(만원)
현대,싼타페 CM,2WD(2.0 e-VGT) MLX,11/09,"151,477km",650(만원)
현대,투싼 ix,디젤 2WD X20,11/09(12년식),"179,726km",530(만원)
